pgrid 	 psihatexact+_real 	 psihatexact+_imag 	              psihatguess+_real 	 psihatguess+_imag 
-8.510055054330450730e+01	-2.963004134673844780e-14	3.993322288153226484e-14	-2.161199556551147705e-14	-1.336552664346023948e-13
-8.509007920695120220e+01	-5.006241563076254359e-14	-8.741854586040755836e-15	1.051149819848500640e-13	-8.773070290622092411e-14
-8.507960787059791130e+01	-1.833888464250200752e-14	-4.540932256886179953e-14	1.315955580312564050e-13	4.958426055426142021e-14
-8.506913653424460620e+01	3.347881811923489121e-14	-4.020548576149177861e-14	1.881818154418892531e-14	1.348751436515968854e-13
-8.505866519789130109e+01	4.929746760604228048e-14	8.015721653243124442e-15	-1.050535674856764531e-13	8.667870131726925690e-14
-8.504819386153799599e+01	1.782042185578983025e-14	4.706192201576475229e-14	-1.301012081036134398e-13	-4.637866232874697307e-14
-8.503772252518469088e+01	-3.229132082135137488e-14	3.952799801005928658e-14	-2.376486470763075500e-14	-1.353315892496500663e-13
-8.502725118883138578e+01	-5.130241752928457096e-14	-8.371836439737533970e-15	1.018717432927457968e-13	-9.060341668405671124e-14
-8.501677985247808067e+01	-1.856791101800162031e-14	-4.491183768940666629e-14	1.333332142341571284e-13	4.440533351656787865e-14
-8.500630851612477557e+01	3.122182279588283244e-14	-4.238683996922624332e-14	3.031633877411131438e-14	1.314417220045527486e-13
-8.499583717977147046e+01	5.309422921566977513e-14	5.345609807589576081e-15	-9.509459150801004180e-14	9.851462628792212760e-14
-8.498536584341816535e+01	2.367404184624364127e-14	4.520550452786062560e-14	-1.356029185300611028e-13	-2.923833120487223938e-14
-8.497489450706486025e+01	-2.801602795265875211e-14	4.306098334312954811e-14	-4.521729962873313732e-14	-1.271478343656596651e-13
-8.496442317071155514e+01	-5.038615765151918470e-14	-3.191008849941656605e-15	8.065292446230514885e-14	-1.095120275060530461e-13
-8.495395183435825004e+01	-2.758140806108253153e-14	-4.453218412000370944e-14	1.363114113834422199e-13	1.318678596143971354e-14
-8.494348049800494493e+01	2.146055676893172454e-14	-4.757723627371652397e-14	6.348988387289251928e-14	1.195197143932912043e-13
-8.493300916165163983e+01	4.954153897837074996e-14	-6.441307847619578427e-15	-6.270150729404887476e-14	1.203217312865854513e-13
-8.492253782529833472e+01	3.438713381546642981e-14	3.883987205317775044e-14	-1.353536057929631837e-13	1.203736964705837265e-14
-8.491206648894502962e+01	-1.486303753655917004e-14	5.154671173127908655e-14	-8.423183641300188742e-14	-1.062178523306701919e-13
-8.490159515259172451e+01	-5.146419842762820985e-14	1.432135683400048034e-14	3.897832600031077332e-14	-1.305178473411907207e-13
-8.489112381623841941e+01	-3.997007340681250028e-14	-3.184354461810381415e-14	1.309511488547106795e-13	-3.895862833655561522e-14
-8.488065247988512851e+01	4.460905160060770914e-15	-5.405993597604301151e-14	1.036862806073118115e-13	8.645765048177787647e-14
-8.487018114353182341e+01	4.703014634129256898e-14	-2.525569119581328224e-14	-9.046011701579859753e-15	1.359142064282482366e-13
-8.485970980717851830e+01	4.766217454855482294e-14	2.380961251846977581e-14	-1.173141936312882271e-13	6.801818342877066812e-14
-8.484923847082521320e+01	6.190040848146886596e-15	5.280566281873495676e-14	-1.215457174961553709e-13	-5.337436438291690846e-14
-8.483876713447190809e+01	-3.947746402915696329e-14	3.572558288062485641e-14	-3.059225283471833362e-14	-1.342035060701496628e-13
-8.482829579811860299e+01	-5.336416923213843278e-14	-1.086481438219113525e-14	9.442352981065848768e-14	-9.898521382673940587e-14
-8.481782446176529788e+01	-2.146164954135833689e-14	-4.884993391863575722e-14	1.316886907494284000e-13	1.605484121139452243e-14
-8.480735312541199278e+01	2.735782561405278381e-14	-4.753093736958567811e-14	7.031627188564962566e-14	1.177642508612117688e-13
-8.479688178905868767e+01	5.285693418318991491e-14	-5.909618225471293406e-15	-5.759134876179629382e-14	1.237449269455134036e-13
-8.478641045270538257e+01	3.780222733536390886e-14	4.028155327264393927e-14	-1.305111734140193970e-13	3.147094689127519257e-14
-8.477593911635207746e+01	-8.197463264389971389e-15	5.516151442832986990e-14	-1.069194263969607046e-13	-8.674932014039706413e-14
-8.476546777999877236e+01	-4.791475422352485797e-14	2.490892055057277453e-14	6.869589912801034927e-15	-1.330041462694627804e-13
-8.475499644364546725e+01	-4.871372726168533126e-14	-2.367282943536311055e-14	1.081432842222370194e-13	-7.810898164866101895e-14
-8.474452510729216215e+01	-9.457597970164120993e-15	-5.181849513573716911e-14	1.302161499145061818e-13	4.245988651029252186e-14
-8.473405377093885704e+01	3.598454887130221841e-14	-4.078428712213164934e-14	4.646524167422897895e-14	1.243182836732983178e-13
-8.472358243458555194e+01	5.438789073771696101e-14	3.501338437488479573e-15	-6.808854582086940356e-14	1.147919290075414682e-13
-8.471311109823224683e+01	3.159003988851219421e-14	4.562894435961370849e-14	-1.369005909363108573e-13	1.463358749996096171e-14
-8.470263976187894173e+01	-1.617378689733261066e-14	5.352764698618423181e-14	-9.409306267358715771e-14	-9.395740457186359537e-14
-8.469216842552563662e+01	-5.119684044240832904e-14	2.058485884513152282e-14	9.870984428332172234e-15	-1.356537913088413041e-13
-8.468169708917234573e+01	-4.836816368740112058e-14	-2.473903252397086501e-14	1.134095610238989922e-13	-7.479771279926223423e-14
-8.467122575281904062e+01	-7.685495702109906244e-15	-5.541404603922907262e-14	1.283441633547244457e-13	3.763494505356279642e-14
-8.466075441646573552e+01	3.652268415227657341e-14	-4.093012768858838347e-14	5.469585412537070858e-14	1.235838806183539572e-13
-8.465028308011243041e+01	5.457036556790551444e-14	1.834772753258848229e-15	-6.215098524637645565e-14	1.207769385724491462e-13
-8.463981174375912531e+01	3.362063103037344794e-14	4.459323405545386787e-14	-1.267702569250864585e-13	3.091159278898025188e-14
