x+ 	 x- 	 p+ 	 p- 	 mass_x+ 	 itr 
-9.999999999999998	nan	3.0000000000000004	nan	1.0	0
-9.995000000000006	-9.793841629992722	3.0000000000108558	3.0332776602710565	0.999999999999999	1
-9.98499999999997	-9.783723865034714	3.00000000002192	3.033609757752025	0.9999999999999996	2
-9.974999999999888	-9.773598893480568	3.0000000000332094	3.033943925461003	0.9999999999999994	3
-9.96499999999976	-9.763466592514893	3.000000000044726	3.034280307636832	1.0	4
-9.954999999999638	-9.753326826909115	3.0000000000564757	3.034618978893598	0.9999999999999967	5
-9.944999999999444	-9.743179575033949	3.0000000000684635	3.0349598947690666	0.9999999999999981	6
-9.934999999999189	-9.73302483890763	3.000000000080693	3.035303079639995	1.0000000000000007	7
-9.924999999998905	-9.722862601451881	3.00000000009317	3.035648538023216	1.0000000000000016	8
-9.914999999998628	-9.712692789804535	3.0000000001058984	3.035996320857886	1.0	9
-9.90499999999829	-9.702515393369094	3.000000000118886	3.036346413733069	0.9999999999999973	10
-9.894999999997898	-9.69233036300341	3.0000000001321343	3.036698853242367	0.999999999999999	11
-9.88499999999745	-9.682137686847776	3.0000000001456515	3.037053694205575	0.9999999999999978	12
-9.874999999996957	-9.67193732274953	3.0000000001594422	3.037410949049139	0.9999999999999994	13
-9.864999999996439	-9.661729226677322	3.0000000001735114	3.037770650628108	0.9999999999999973	14
-9.854999999995863	-9.651513378407868	3.0000000001878657	3.0381328392872198	0.9999999999999971	15
-9.844999999995208	-9.641289720585766	3.0000000002025105	3.0384975587569216	0.9999999999999979	16
-9.834999999994535	-9.631058222226015	3.000000000217452	3.0388648455565623	0.9999999999999973	17
-9.824999999993807	-9.6208188439143	3.000000000232695	3.0392347603150007	0.9999999999999969	18
-9.814999999993054	-9.610571533459838	3.0000000002482463	3.0396073365668705	0.999999999999995	19
-9.804999999992205	-9.600316257765785	3.0000000002641136	3.0399826438760296	0.9999999999999976	20
-9.794999999991346	-9.590052963759176	3.000000000280303	3.040360735523411	0.9999999999999964	21
-9.784999999990406	-9.579781606306659	3.000000000296818	3.0407416704602825	0.9999999999999962	22
-9.774999999989396	-9.569502133477744	3.00000000031367	3.0411255093650107	0.9999999999999962	23
-9.7649999999884	-9.559214504293763	3.0000000003308607	3.0415123334620113	0.9999999999999954	24
-9.754999999987255	-9.548918653682577	3.0000000003484	3.0419022078060087	0.999999999999995	25
-9.74499999998611	-9.538614539595079	3.000000000366296	3.042295205132285	0.9999999999999954	26
-9.734999999984888	-9.528302110406816	3.0000000003845533	3.042691411946221	0.999999999999995	27
-9.724999999983613	-9.517981308915411	3.0000000004031806	3.043090916121567	0.999999999999994	28
-9.714999999982266	-9.50765207706133	3.0000000004221863	3.0434938004756265	0.9999999999999942	29
-9.704999999980819	-9.4973143542749	3.0000000004415766	3.043900169052526	0.9999999999999973	30
-9.694999999979396	-9.486968089059923	3.00000000046136	3.0443101194936975	0.9999999999999933	31
-9.684999999977846	-9.476613215307124	3.0000000004815437	3.0447237585831863	0.9999999999999942	32
-9.67499999997621	-9.466249680476807	3.0000000005021374	3.0451412152940436	0.9999999999999973	33
-9.66499999997454	-9.455877408687035	3.0000000005231495	3.045562639730612	0.9999999999999959	34
-9.654999999972814	-9.445496338945274	3.000000000544588	3.045988215519398	0.9999999999999938	35
-9.644999999971011	-9.435106398134492	3.0000000005664598	3.0464181007700626	0.9999999999999936	36
-9.634999999969127	-9.424707536785988	3.0000000005887744	3.046852373028651	0.9999999999999931	37
-9.62499999996718	-9.414299705431576	3.000000000611543	3.0472910319210484	0.9999999999999929	38
-9.614999999965114	-9.403882854434045	3.0000000006347745	3.047734123978813	0.9999999999999933	39
-9.604999999963017	-9.393456922520555	3.0000000006584746	3.048181795764738	0.9999999999999929	40
-9.594999999960805	-9.38302183744506	3.000000000682658	3.0486342495906946	0.9999999999999944	41
-9.584999999958525	-9.372577536933399	3.0000000007073315	3.0490916733874003	0.9999999999999931	42
-9.57499999995619	-9.362123968755085	3.0000000007325056	3.049554239893063	0.9999999999999933	43
-9.564999999953706	-9.351661066380062	3.0000000007581895	3.0500221388020883	0.9999999999999954	44
-9.554999999951184	-9.341188768590833	3.000000000784398	3.05049557102343	0.9999999999999952	45
-9.544999999948583	-9.330707020441228	3.000000000811135	3.0509747398472515	0.9999999999999923	46
-9.534999999945885	-9.320215763929813	3.0000000008384173	3.051459847718338	0.9999999999999929	47
-9.524999999943105	-9.309714950581087	3.0000000008662537	3.051951091201222	0.9999999999999917	48
-9.5149999999402	-9.2992045331245	3.000000000894655	3.0524486792932555	0.9999999999999911	49
-9.504999999937253	-9.28868446661592	3.0000000009236314	3.052952814620453	0.9999999999999888	50
-9.494999999934112	-9.278154717174617	3.000000000953199	3.0534637172955335	0.9999999999999928	51
-9.484999999930997	-9.267615243938668	3.000000000983365	3.053981613726221	0.99999999999999	52
-9.474999999927698	-9.257066018163751	3.000000001014146	3.0545067518869473	0.9999999999999907	53
-9.46499999992431	-9.246507015512597	3.000000001045553	3.0550393794531114	0.9999999999999912	54
-9.454999999920835	-9.235938215769526	3.0000000010775962	3.0555797525090425	0.9999999999999898	55
-9.444999999917227	-9.225359605811047	3.0000000011102914	3.0561281385319434	0.9999999999999915	56
-9.434999999913554	-9.214771187207655	3.000000001143652	3.0566847983599947	0.9999999999999892	57
-9.42499999990972	-9.20417296508268	3.0000000011776904	3.0572500060065706	0.9999999999999902	58
-9.414999999905783	-9.193564961337291	3.0000000012124204	3.057824034903542	0.9999999999999911	59
