xgrid 	 psiboa+_real 	 psiboa+_imag 	              psiexact+_real 	 psiexact+_imag 	              pgrid 	 psihatboa+_real 	 psiboa+_imag 	              psihatexact+_real 	 psihatexact+_imag 
-2.989013001281816528e+01	-3.543777303414745220e-15	-4.238056787174655884e-15	-1.167757922701385467e-14	4.475700730185956210e-15	-8.546704731567017177e+01	1.361618551207821866e-16	-4.175649969476457694e-16	3.523610481751072171e-14	-1.040250754458619712e-13
-2.988646767991210496e+01	-2.902772498887489557e-15	-4.914519154751850577e-15	4.706278527120285723e-14	-1.166830697625039367e-14	-8.545657597931686666e+01	3.971471435328825290e-17	1.335189502287587565e-16	-6.424857596887570909e-14	-4.920972159595776209e-14
-2.988280534700604107e+01	-3.217443792950587274e-15	-6.520123162143127762e-15	1.707890684570786565e-14	1.241232073477889843e-14	-8.544610464296356156e+01	-1.313030800166090929e-16	-3.926958169777676120e-17	-6.843708939966015560e-14	-1.428942073202274669e-14
-2.987914301409998075e+01	-2.590943717434437349e-15	-6.807014801228631206e-15	8.643598863110022119e-14	-4.212562297221004454e-14	-8.543563330661025645e+01	3.328040629784100330e-16	2.959615950119603431e-18	-7.135522525563414370e-14	7.289484629157726968e-14
-2.987548068119392042e+01	-4.245358013571806168e-16	-7.243964033791415729e-15	-1.031253653858654740e-14	-2.506623341078412344e-14	-8.542516197025695135e+01	-2.268729139189356915e-16	7.634674869274592802e-18	3.589357007121752318e-14	8.020075493229138510e-14
-2.987181834828786009e+01	5.343034577724412915e-16	-7.110552761847727441e-15	1.086336587854272250e-13	9.527816260646747769e-15	-8.541469063390364624e+01	-8.147044133752641249e-17	3.267121491014224049e-17	6.091320903978899450e-14	3.227451583343191142e-14
-2.986815601538179976e+01	8.918539197090714221e-16	-7.345412449812046721e-15	-3.444537037956833984e-14	-3.211876486455731691e-14	-8.540421929755034114e+01	-2.892580979146239981e-16	-3.852754758001052395e-17	8.910286609468025511e-14	-3.403544613520743847e-14
-2.986449368247573588e+01	2.379705564583954935e-15	-6.268730363167537980e-15	9.708987609197395220e-16	-9.061355254674363988e-15	-8.539374796119703603e+01	-4.322602703321961290e-16	2.047908867498490503e-16	-8.386157732800400394e-16	-9.528207502461681243e-14
-2.986083134956967555e+01	3.791109249136679622e-15	-5.957586747486205223e-15	8.850620219141646953e-15	4.663474982072931686e-14	-8.538327662484373093e+01	-3.610277727877598705e-16	3.148505060549251613e-17	-5.265988605098310349e-14	-4.696708082772979499e-14
-2.985716901666361522e+01	3.916933758691161865e-15	-5.918607135930499174e-15	4.796896066476575865e-14	-3.106173639884436176e-14	-8.537280528849042582e+01	4.002300307002215400e-17	-3.157104916583326635e-16	-9.539549059893739827e-14	-6.502014464070033675e-16
-2.985350668375755490e+01	5.259979421058570907e-15	-5.485722747156066333e-15	-1.412880737476840917e-14	-4.091041089820078293e-14	-8.536233395213712072e+01	-3.151137781399345957e-17	1.635581123726370598e-16	-3.516483238036342771e-14	9.870661945611946330e-14
-2.984984435085149101e+01	5.480958167993507988e-15	-4.033848696929699813e-15	3.248922720234341791e-14	-2.542972770838607142e-14	-8.535186261578381561e+01	1.756899891577883854e-17	-1.549907891840988765e-16	3.975852121755609984e-14	6.187817981703100527e-14
-2.984618201794543069e+01	5.923686769566703565e-15	-2.964977232082449234e-15	-5.045344160675237263e-14	3.672149971428224315e-14	-8.534139127943051051e+01	5.699411341437355805e-17	-1.126712535684937659e-16	9.076148868966213226e-14	3.240359105648017191e-14
-2.984251968503937036e+01	5.335056244449429761e-15	-2.055870289910630306e-15	8.625603308126248447e-15	-2.289193642062007548e-14	-8.533091994307720540e+01	-9.206478594260337510e-17	-1.850005456511860395e-16	6.644363207783495674e-14	-8.726663607581638969e-14
-2.983885735213331003e+01	5.966556067642031235e-15	-1.640256283455142758e-15	-8.266130275575346420e-14	-1.398120076914822343e-14	-8.532044860672390030e+01	-1.116942781115410436e-17	-1.002558895227354931e-16	-2.415395509934299032e-14	-7.229452877708367192e-14
-2.983519501922724615e+01	5.825279652229687669e-15	-2.541497359977119743e-16	-4.567640570065279286e-14	7.116551560065614055e-15	-8.530997727037059519e+01	-1.458807593067140576e-16	-7.910603556682314534e-18	-7.977225343130673574e-14	-5.929150668720729112e-14
-2.983153268632118582e+01	5.007478408088913617e-15	9.617702128840819859e-16	-6.583162305942711349e-14	-1.910618252485264899e-14	-8.529950593401729009e+01	2.377346858200197539e-17	-1.398988182100243712e-16	-9.317957801712321729e-14	7.270514754944106183e-14
-2.982787035341512549e+01	4.803316806482458873e-15	1.207444919326634302e-15	-3.670773610999508489e-14	-4.624664080448050026e-14	-8.528903459766398498e+01	-1.855481245743048647e-16	2.085933072293905843e-16	5.989379712755952194e-15	7.949630681630055275e-14
-2.982420802050906516e+01	4.584457083217199679e-15	2.267308249875376618e-15	-5.874332553636192652e-14	8.216716420194313898e-14	-8.527856326131069409e+01	7.620490669872699918e-18	4.071140148702858655e-17	6.588795692048584289e-14	8.031728121433763135e-14
-2.982054568760300484e+01	3.923721225078548027e-15	2.745975761855548836e-15	1.654938495823055641e-14	-5.464327577639806890e-14	-8.526809192495738898e+01	1.012519715533940760e-16	7.541798948597065895e-17	1.112652402170317790e-13	-5.115834739263529003e-14
-2.981688335469694096e+01	2.161558571905634945e-15	2.823624419834313090e-15	-5.952223643102313177e-14	-1.523776282950883351e-14	-8.525762058860408388e+01	7.892989921006327431e-17	2.102051252437272621e-16	1.205468424956415958e-14	-8.345507292736567841e-14
-2.981322102179088063e+01	2.191797856365790216e-15	2.907635194192417579e-15	-4.809589948882997069e-14	-2.295275199842410452e-14	-8.524714925225077877e+01	3.503057133114434780e-17	8.070797100158760670e-17	-5.273468510403137456e-14	-9.693154057362341051e-14
-2.980955868888482030e+01	-1.191953445944657328e-16	4.661790712721342376e-15	-8.369298145211489738e-14	1.781175415362827423e-14	-8.523667791589747367e+01	-1.851587938806449362e-16	3.049207434301460384e-16	-1.243031902165958643e-13	2.894391697375662596e-14
-2.980589635597875997e+01	-1.652453771369966980e-15	2.773767458550043058e-15	2.265775921650818702e-14	-4.299650309074745189e-14	-8.522620657954416856e+01	-1.855548832220758534e-16	-2.634531821881397074e-16	-2.948816405891013026e-14	8.412846332009113802e-14
-2.980223402307269609e+01	-1.843783156889323425e-15	2.576720804053343290e-15	-1.862480996627001697e-14	1.341748633298413863e-14	-8.521573524319086346e+01	-1.570835439100548077e-16	-1.346019939931369584e-16	3.799579789498469830e-14	1.083755570117213998e-13
-2.979857169016663576e+01	-2.475536690533032716e-15	1.865198510568875493e-15	-1.072738079064980232e-16	-6.285947640657300941e-15	-8.520526390683755835e+01	-5.292632537765024738e-17	-2.942141888188206567e-16	1.323933276463803497e-13	-8.742576755106885872e-15
-2.979490935726057543e+01	-3.401135814799333751e-15	1.856100526978941822e-15	5.616798217829463027e-15	6.325214061216787797e-14	-8.519479257048425325e+01	6.275909898966620832e-17	-2.548948755659954869e-17	4.561591833504629293e-14	-8.309468948557920041e-14
-2.979124702435451510e+01	-4.623083111943198314e-15	4.106074909694524545e-16	4.964652450879520542e-14	-1.863733137139139524e-14	-8.518432123413094814e+01	3.602006745953897830e-16	2.923755327289491735e-16	-2.620847324689707388e-14	-1.153192281234111368e-13
-2.978758469144845122e+01	-5.030216913620753703e-15	3.995920522667510630e-16	-4.494872699827635386e-14	7.293253441135785154e-14	-8.517384989777764304e+01	-2.724893974695458042e-16	3.765708978947812463e-17	-1.347391873948315884e-13	-9.397007717885712792e-15
-2.978392235854239090e+01	-5.094693999355315288e-15	-1.569520170065127450e-15	9.073019912178720300e-14	-3.683101698810401465e-14	-8.516337856142433793e+01	-1.863268880860862860e-16	9.866946495180334777e-18	-5.790766233304179628e-14	8.164884536983439829e-14
-2.978026002563633057e+01	-5.737468874369317470e-15	-2.419162236797081586e-15	8.702096342214337105e-15	5.072460889085376749e-15	-8.515290722507103283e+01	-3.750647696527341640e-16	1.053096879371276220e-16	1.559452626710041285e-14	1.210915504988916693e-13
-2.977659769273027024e+01	-4.403884120832398267e-15	-4.566872051729636325e-15	2.138997906134351049e-15	-1.127111579198022703e-14	-8.514243588871772772e+01	-2.236302124166143537e-16	-1.287573741712223633e-16	1.365863490522648712e-13	2.284532996026305357e-14
-2.977293535982420636e+01	-3.773782443422360145e-15	-5.166214116906283201e-15	1.547974197576886545e-14	5.945315964071294800e-14	-8.513196455236442262e+01	6.928786331811422489e-17	3.928563971479791737e-17	6.677842809558801717e-14	-8.032370719569041531e-14
-2.976927302691814603e+01	-3.631767104376329698e-15	-5.802834045403752153e-15	7.574918705046186100e-14	2.033847332736290773e-14	-8.512149321601111751e+01	-3.624285472275371262e-16	-1.008809692000436279e-16	-1.160579338455894923e-14	-1.250606506452499471e-13
-2.976561069401208570e+01	-3.756992306898463105e-15	-7.147935418153231638e-15	8.073477648290684380e-15	4.578226760150935949e-14	-8.511102187965781241e+01	-3.175166716437692276e-16	1.431570786582431029e-16	-1.373999639117428039e-13	-3.052417376531804433e-14
-2.976194836110602537e+01	-2.477652279650652083e-15	-6.569892825380111280e-15	2.320065451135594659e-14	-3.801024968387624750e-14	-8.510055054330450730e+01	1.120603029016075687e-16	-1.571303459991013968e-16	-7.396327274223003604e-14	7.982261203625706092e-14
-2.975828602819996505e+01	-1.557126660325196008e-15	-8.291471315200261384e-15	2.168244652531004695e-14	4.277279636304372063e-14	-8.509007920695120220e+01	-5.795233181108976489e-17	-6.396400533355678230e-17	9.665117937466549472e-15	1.269337641187902842e-13
-2.975462369529390116e+01	3.455113014426520407e-16	-7.616738255468245261e-15	7.933617615041676626e-14	-4.590965410569720325e-14	-8.507960787059791130e+01	1.174356723895398813e-16	-1.077628298459491796e-16	1.374916043606955209e-13	3.488458727483205824e-14
-2.975096136238784084e+01	1.250225043590095438e-15	-7.980695888313149186e-15	4.587656181969260280e-16	-6.361501463786941235e-15	-8.506913653424460620e+01	2.474222346476661626e-17	2.066296786944655734e-16	7.616842740840225643e-14	-8.207317009834878594e-14
-2.974729902948178051e+01	2.805080980337357192e-15	-7.764234162149561941e-15	7.301302684117902566e-14	-1.192097220744707386e-14	-8.505866519789130109e+01	1.437778300549637973e-16	-1.097094692737044999e-16	-1.401152346956370342e-14	-1.265385657691098816e-13
-2.974363669657572018e+01	3.582559882534915774e-15	-6.800171976606836158e-15	2.098468309857040287e-14	1.646138909229405880e-14	-8.504819386153799599e+01	2.180512550733249259e-16	-1.389665765165743109e-16	-1.376666251623773653e-13	-3.202326862211363649e-14
-2.973997436366965630e+01	4.633003664419815166e-15	-6.434538669070663549e-15	-3.331806249143077007e-14	-5.375878887678139685e-14	-8.503772252518469088e+01	-2.184037976730883253e-16	-1.115336731167966495e-16	-7.466013557516280428e-14	8.735247151906673156e-14
-2.973631203076359597e+01	5.720164918076615263e-15	-6.370712060597467630e-15	1.844296015483925164e-14	7.369305186988482069e-14	-8.502725118883138578e+01	-2.408507445183033607e-16	7.710128045192150318e-17	2.128675823524190965e-14	1.257925469836197532e-13
-2.973264969785753564e+01	6.495171112437790811e-15	-4.580859157477696343e-15	3.734915865527955406e-14	-2.992103102005732258e-14	-8.501677985247808067e+01	-2.581288189553831662e-17	1.168219925941432563e-16	1.388799864370591580e-13	2.484002816220297552e-14
-2.972898736495147531e+01	7.306499882296202049e-15	-3.129476732283548715e-15	8.594591716218672146e-15	-2.793339268795071647e-15	-8.500630851612477557e+01	1.894108445838910344e-16	6.945658164378177261e-17	6.823978769687905650e-14	-9.410005400199503632e-14
-2.972532503204541143e+01	6.930768313753067206e-15	-2.403802949699383640e-15	1.449084006830396029e-14	-6.154397955517442297e-14	-8.499583717977147046e+01	-2.150390177568852016e-16	-1.878620110744891894e-16	-3.328068920534022878e-14	-1.208403640452271533e-13
